,type,wg_size,attempt,wg_idx,true_val,exec_time,makespan,peak_resource_usage
489,our,120,1,61,114,526.3080294132233,122,77
490,basic,120,1,62,100,526.001610994339,109,88
491,our,120,1,62,100,529.278879404068,105,88
492,basic,120,1,63,112,517.4828462600708,122,79
493,our,120,1,63,112,517.8168179988861,120,79
494,basic,120,1,64,131,522.9227976799011,143,75
495,our,120,1,64,131,530.1393110752106,143,75
496,basic,120,1,65,124,518.8612408638,136,75
497,our,120,1,65,124,528.4292771816254,131,75
498,basic,120,1,66,118,522.4239337444305,129,82
499,our,120,1,66,118,529.1316888332367,125,82
500,basic,120,1,67,97,517.8433668613434,104,79
501,our,120,1,67,97,527.7623159885406,104,79
502,basic,120,1,68,89,525.6529912948608,95,92
503,our,120,1,68,89,532.4512650966644,95,92
504,basic,120,1,69,118,527.3271994590759,127,80
505,our,120,1,69,118,535.041473865509,125,80
506,basic,120,1,70,95,520.3136010169983,99,121
507,our,120,1,70,95,419.3197946548462,97,122
508,basic,120,1,71,103,530.3677849769592,112,104
509,our,120,1,71,103,439.6940734386444,107,104
510,basic,120,1,72,96,516.1872613430023,102,95
511,our,120,1,72,96,397.89357686042786,99,95
512,basic,120,1,73,94,521.3436961174011,101,97
513,our,120,1,73,94,526.5983951091766,102,97
514,basic,120,1,74,104,520.4622642993927,110,92
515,our,120,1,74,104,524.4500572681427,110,92
516,basic,120,1,75,85,536.7271287441254,90,104
517,our,120,1,75,85,525.8631646633148,89,104
518,basic,120,1,76,87,530.0262584686279,93,113
519,our,120,1,76,87,422.2804491519928,92,113
520,basic,120,1,77,87,293.2425584793091,91,114
521,our,120,1,77,87,295.8183877468109,92,114
522,basic,120,1,78,94,290.230961561203,100,106
523,our,120,1,78,94,294.44459223747253,101,106
524,basic,120,1,79,93,294.4146959781647,98,116
525,our,120,1,79,93,297.60313987731934,97,116
526,basic,120,1,80,88,458.0034296512604,88,122
527,our,120,1,80,88,294.57581639289856,88,122
528,basic,120,1,81,94,500.2580487728119,94,131
529,our,120,1,81,94,532.3289210796356,94,131
530,basic,120,1,82,87,531.2845087051392,87,115
531,our,120,1,82,87,535.8516583442688,87,115
532,basic,120,1,83,87,523.8441202640533,90,116
533,our,120,1,83,87,337.05447721481323,90,116
534,basic,120,1,84,114,281.7052745819092,114,126
535,our,120,1,84,114,284.6201105117798,114,126
536,basic,120,1,85,98,294.01614594459534,102,124
537,our,120,1,85,98,302.03556656837463,99,122
538,basic,120,1,86,80,298.7271292209625,80,150
539,our,120,1,86,80,299.9656183719635,80,150
540,basic,120,1,87,80,294.7896647453308,81,145
541,our,120,1,87,80,296.6009476184845,80,146
542,basic,120,1,88,87,529.9117166996002,88,110
543,our,120,1,88,87,340.8718523979187,87,110
544,basic,120,1,89,84,297.65198802948,84,129
545,our,120,1,89,84,298.300194978714,84,128
546,basic,120,1,90,111,287.4518332481384,111,134
547,our,120,1,90,111,289.8511474132538,111,133
548,basic,120,1,91,91,292.4450340270996,91,166
549,our,120,1,91,91,424.45847606658936,91,164
550,basic,120,1,92,99,291.1528091430664,99,132
551,our,120,1,92,99,303.88411045074463,99,131
552,basic,120,1,93,95,292.58174777030945,95,125
553,our,120,1,93,95,296.0259175300598,95,124
554,basic,120,1,94,97,293.7079837322235,97,131
555,our,120,1,94,97,309.0811839103699,97,131
556,basic,120,1,95,92,289.61586809158325,92,155
557,our,120,1,95,92,293.55009841918945,92,155
558,basic,120,1,96,79,530.4155058860779,80,138
559,our,120,1,96,79,539.4224734306335,79,139
560,basic,120,1,97,114,521.1656739711761,114,109
561,our,120,1,97,114,536.666316986084,114,109
562,basic,120,1,98,77,529.382785320282,77,174
563,our,120,1,98,77,508.3421823978424,77,173
564,basic,120,1,99,66,444.5802447795868,66,191
